State,Year,Month,Period,Indicator,Data Value
IOWA,2021,April,Monthly,Number of Deaths,2620
KANSAS,2021,April,Monthly,Number of Deaths,2259
KENTUCKY,2021,April,Monthly,Number of Deaths,4511
LOUISIANA,2021,April,Monthly,Number of Deaths,4216
MAINE,2021,April,Monthly,Number of Deaths,1290
MARYLAND,2021,April,Monthly,Number of Deaths,4701
MASSACHUSETTS,2021,April,Monthly,Number of Deaths,4761
MICHIGAN,2021,April,Monthly,Number of Deaths,10013
MINNESOTA,2021,April,Monthly,Number of Deaths,3899
MISSISSIPPI,2021,April,Monthly,Number of Deaths,2912
MISSOURI,2021,April,Monthly,Number of Deaths,5480
MONTANA,2021,April,Monthly,Number of Deaths,902
NEBRASKA,2021,April,Monthly,Number of Deaths,1460
NEVADA,2021,April,Monthly,Number of Deaths,2270
NEW HAMPSHIRE,2021,April,Monthly,Number of Deaths,1053
NEW JERSEY,2021,April,Monthly,Number of Deaths,7127
NEW MEXICO,2021,April,Monthly,Number of Deaths,1862
NEW YORK,2021,April,Monthly,Number of Deaths,14272
NORTH CAROLINA,2021,April,Monthly,Number of Deaths,8683
NORTH DAKOTA,2021,April,Monthly,Number of Deaths,534
OHIO,2021,April,Monthly,Number of Deaths,10601
OKLAHOMA,2021,April,Monthly,Number of Deaths,3453
OREGON,2021,April,Monthly,Number of Deaths,3336
PENNSYLVANIA,2021,April,Monthly,Number of Deaths,11882
RHODE ISLAND,2021,April,Monthly,Number of Deaths,830
SOUTH CAROLINA,2021,April,Monthly,Number of Deaths,4793
SOUTH DAKOTA,2021,April,Monthly,Number of Deaths,671
TENNESSEE,2021,April,Monthly,Number of Deaths,6714
TEXAS,2021,April,Monthly,Number of Deaths,18895
UTAH,2021,April,Monthly,Number of Deaths,1641
VERMONT,2021,April,Monthly,Number of Deaths,521
VIRGINIA,2021,April,Monthly,Number of Deaths,6463
WASHINGTON,2021,April,Monthly,Number of Deaths,5189
WEST VIRGINIA,2021,April,Monthly,Number of Deaths,2202
WISCONSIN,2021,April,Monthly,Number of Deaths,4426
WYOMING,2021,April,Monthly,Number of Deaths,412
PUERTO RICO,2021,April,Monthly,Number of Deaths,2745
ALABAMA,2021,May,Monthly,Number of Deaths,5005
ALASKA,2021,May,Monthly,Number of Deaths,446
ARIZONA,2021,May,Monthly,Number of Deaths,5724
ARKANSAS,2021,May,Monthly,Number of Deaths,3046
CALIFORNIA,2021,May,Monthly,Number of Deaths,23410
COLORADO,2021,May,Monthly,Number of Deaths,3672
CONNECTICUT,2021,May,Monthly,Number of Deaths,2671
DELAWARE,2021,May,Monthly,Number of Deaths,886
DISTRICT OF COLUMBIA,2021,May,Monthly,Number of Deaths,447
FLORIDA,2021,May,Monthly,Number of Deaths,19804
GEORGIA,2021,May,Monthly,Number of Deaths,8051
HAWAII,2021,May,Monthly,Number of Deaths,1013
IDAHO,2021,May,Monthly,Number of Deaths,1348
ILLINOIS,2021,May,Monthly,Number of Deaths,9769
INDIANA,2021,May,Monthly,Number of Deaths,5848
IOWA,2021,May,Monthly,Number of Deaths,2524
KANSAS,2021,May,Monthly,Number of Deaths,2363
KENTUCKY,2021,May,Monthly,Number of Deaths,4449
LOUISIANA,2021,May,Monthly,Number of Deaths,4229
MAINE,2021,May,Monthly,Number of Deaths,1380
MARYLAND,2021,May,Monthly,Number of Deaths,4580
MASSACHUSETTS,2021,May,Monthly,Number of Deaths,4822
MICHIGAN,2021,May,Monthly,Number of Deaths,9618
MINNESOTA,2021,May,Monthly,Number of Deaths,4022
MISSISSIPPI,2021,May,Monthly,Number of Deaths,2965
MISSOURI,2021,May,Monthly,Number of Deaths,5505
MONTANA,2021,May,Monthly,Number of Deaths,907
NEBRASKA,2021,May,Monthly,Number of Deaths,1486
NEVADA,2021,May,Monthly,Number of Deaths,2314
NEW HAMPSHIRE,2021,May,Monthly,Number of Deaths,1086
NEW JERSEY,2021,May,Monthly,Number of Deaths,6422
NEW MEXICO,2021,May,Monthly,Number of Deaths,1914
NEW YORK,2021,May,Monthly,Number of Deaths,13689
NORTH CAROLINA,2021,May,Monthly,Number of Deaths,8929
NORTH DAKOTA,2021,May,Monthly,Number of Deaths,566
OHIO,2021,May,Monthly,Number of Deaths,10856
OKLAHOMA,2021,May,Monthly,Number of Deaths,3549
OREGON,2021,May,Monthly,Number of Deaths,3499
PENNSYLVANIA,2021,May,Monthly,Number of Deaths,11792
RHODE ISLAND,2021,May,Monthly,Number of Deaths,890
SOUTH CAROLINA,2021,May,Monthly,Number of Deaths,4786
SOUTH DAKOTA,2021,May,Monthly,Number of Deaths,685
TENNESSEE,2021,May,Monthly,Number of Deaths,6729
TEXAS,2021,May,Monthly,Number of Deaths,18955
UTAH,2021,May,Monthly,Number of Deaths,1703
VERMONT,2021,May,Monthly,Number of Deaths,532
VIRGINIA,2021,May,Monthly,Number of Deaths,6495
WASHINGTON,2021,May,Monthly,Number of Deaths,5262
